"ColumnNumber" "OriginalFeatureName" "ConvertedFeatureName"
1 "tBodyAcc-mean()-X" "tBodyAccXMean"
2 "tBodyAcc-mean()-Y" "tBodyAccYMean"
3 "tBodyAcc-mean()-Z" "tBodyAccZMean"
4 "tBodyAcc-std()-X" "tBodyAccXStd"
5 "tBodyAcc-std()-Y" "tBodyAccYStd"
6 "tBodyAcc-std()-Z" "tBodyAccZStd"
41 "tGravityAcc-mean()-X" "tGravityAccXMean"
42 "tGravityAcc-mean()-Y" "tGravityAccYMean"
43 "tGravityAcc-mean()-Z" "tGravityAccZMean"
44 "tGravityAcc-std()-X" "tGravityAccXStd"
45 "tGravityAcc-std()-Y" "tGravityAccYStd"
46 "tGravityAcc-std()-Z" "tGravityAccZStd"
81 "tBodyAccJerk-mean()-X" "tBodyAccJerkXMean"
82 "tBodyAccJerk-mean()-Y" "tBodyAccJerkYMean"
83 "tBodyAccJerk-mean()-Z" "tBodyAccJerkZMean"
84 "tBodyAccJerk-std()-X" "tBodyAccJerkXStd"
85 "tBodyAccJerk-std()-Y" "tBodyAccJerkYStd"
86 "tBodyAccJerk-std()-Z" "tBodyAccJerkZStd"
121 "tBodyGyro-mean()-X" "tBodyGyroXMean"
122 "tBodyGyro-mean()-Y" "tBodyGyroYMean"
123 "tBodyGyro-mean()-Z" "tBodyGyroZMean"
124 "tBodyGyro-std()-X" "tBodyGyroXStd"
125 "tBodyGyro-std()-Y" "tBodyGyroYStd"
126 "tBodyGyro-std()-Z" "tBodyGyroZStd"
161 "tBodyGyroJerk-mean()-X" "tBodyGyroJerkXMean"
162 "tBodyGyroJerk-mean()-Y" "tBodyGyroJerkYMean"
163 "tBodyGyroJerk-mean()-Z" "tBodyGyroJerkZMean"
164 "tBodyGyroJerk-std()-X" "tBodyGyroJerkXStd"
165 "tBodyGyroJerk-std()-Y" "tBodyGyroJerkYStd"
166 "tBodyGyroJerk-std()-Z" "tBodyGyroJerkZStd"
201 "tBodyAccMag-mean()" "tBodyAccMagMean"
202 "tBodyAccMag-std()" "tBodyAccMagStd"
214 "tGravityAccMag-mean()" "tGravityAccMagMean"
215 "tGravityAccMag-std()" "tGravityAccMagStd"
227 "tBodyAccJerkMag-mean()" "tBodyAccJerkMagMean"
228 "tBodyAccJerkMag-std()" "tBodyAccJerkMagStd"
240 "tBodyGyroMag-mean()" "tBodyGyroMagMean"
241 "tBodyGyroMag-std()" "tBodyGyroMagStd"
253 "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMagMean"
254 "tBodyGyroJerkMag-std()" "tBodyGyroJerkMagStd"
266 "fBodyAcc-mean()-X" "fBodyAccXMean"
267 "fBodyAcc-mean()-Y" "fBodyAccYMean"
268 "fBodyAcc-mean()-Z" "fBodyAccZMean"
269 "fBodyAcc-std()-X" "fBodyAccXStd"
270 "fBodyAcc-std()-Y" "fBodyAccYStd"
271 "fBodyAcc-std()-Z" "fBodyAccZStd"
345 "fBodyAccJerk-mean()-X" "fBodyAccJerkXMean"
346 "fBodyAccJerk-mean()-Y" "fBodyAccJerkYMean"
347 "fBodyAccJerk-mean()-Z" "fBodyAccJerkZMean"
348 "fBodyAccJerk-std()-X" "fBodyAccJerkXStd"
349 "fBodyAccJerk-std()-Y" "fBodyAccJerkYStd"
350 "fBodyAccJerk-std()-Z" "fBodyAccJerkZStd"
424 "fBodyGyro-mean()-X" "fBodyGyroXMean"
425 "fBodyGyro-mean()-Y" "fBodyGyroYMean"
426 "fBodyGyro-mean()-Z" "fBodyGyroZMean"
427 "fBodyGyro-std()-X" "fBodyGyroXStd"
428 "fBodyGyro-std()-Y" "fBodyGyroYStd"
429 "fBodyGyro-std()-Z" "fBodyGyroZStd"
503 "fBodyAccMag-mean()" "fBodyAccMagMean"
504 "fBodyAccMag-std()" "fBodyAccMagStd"
516 "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMagMean"
517 "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMagStd"
529 "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMagMean"
530 "fBodyBodyGyroMag-std()" "fBodyBodyGyroMagStd"
542 "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMagMean"
543 "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMagStd"
